i    j    k    brain       skull       skin        outside     
1    13   20   0.615723    0.249023    0.131348    0.003906    
1    13   21   0.275391    0.268555    0.258789    0.197266    
1    13   18   0.998047    0.001953    0.000000    0.000000    
1    13   22   0.011230    0.133789    0.263184    0.591797    
1    13   23   0.000000    0.000000    0.035156    0.964844    
1    14   9    0.066406    0.202637    0.258301    0.472656    
1    14   10   0.418945    0.272949    0.219238    0.088867    
1    14   14   1.000000    0.000000    0.000000    0.000000    
1    14   11   0.749512    0.221191    0.029297    0.000000    
1    14   19   0.975586    0.024414    0.000000    0.000000    
1    14   20   0.746582    0.221680    0.031738    0.000000    
1    14   8    0.000000    0.002441    0.101074    0.896484    
1    14   13   1.000000    0.000000    0.000000    0.000000    
1    14   21   0.414062    0.250000    0.244629    0.091309    
1    14   12   0.975586    0.024414    0.000000    0.000000    
1    14   15   1.000000    0.000000    0.000000    0.000000    
1    14   23   0.000000    0.002441    0.098633    0.898926    
1    14   17   1.000000    0.000000    0.000000    0.000000    
1    14   22   0.054688    0.194824    0.289062    0.461426    
1    14   16   1.000000    0.000000    0.000000    0.000000    
1    15   8    0.000000    0.013672    0.132324    0.854004    
1    14   18   1.000000    0.000000    0.000000    0.000000    
1    15   9    0.096191    0.242676    0.263184    0.397949    
1    15   12   0.996582    0.003418    0.000000    0.000000    
1    15   16   1.000000    0.000000    0.000000    0.000000    
1    15   11   0.827148    0.165527    0.007324    0.000000    
1    15   15   1.000000    0.000000    0.000000    0.000000    
1    15   19   0.997559    0.002441    0.000000    0.000000    
1    15   10   0.492188    0.248047    0.218750    0.041016    
1    15   14   1.000000    0.000000    0.000000    0.000000    
1    15   20   0.826172    0.165527    0.008301    0.000000    
1    15   18   1.000000    0.000000    0.000000    0.000000    
1    15   17   1.000000    0.000000    0.000000    0.000000    
1    15   13   1.000000    0.000000    0.000000    0.000000    
1    15   21   0.492676    0.260254    0.208984    0.038086    
1    15   23   0.000000    0.011230    0.119629    0.869141    
1    15   22   0.112305    0.248535    0.260254    0.378906    
1    16   8    0.000000    0.009766    0.115723    0.874512    
1    16   10   0.489258    0.264648    0.212402    0.033691    
1    16   15   1.000000    0.000000    0.000000    0.000000    
1    16   16   1.000000    0.000000    0.000000    0.000000    
1    16   9    0.098145    0.229492    0.269531    0.402832    
1    16   11   0.814941    0.174316    0.010742    0.000000    
1    16   14   1.000000    0.000000    0.000000    0.000000    
1    16   13   1.000000    0.000000    0.000000    0.000000    
1    16   17   1.000000    0.000000    0.000000    0.000000    
1    16   12   0.995117    0.004883    0.000000    0.000000    
1    16   19   0.997559    0.002441    0.000000    0.000000    
1    16   20   0.819336    0.173340    0.007324    0.000000    
1    16   23   0.000000    0.010742    0.136230    0.853027    
1    16   22   0.096680    0.240723    0.272461    0.390137    
1    16   18   1.000000    0.000000    0.000000    0.000000    
1    16   21   0.479004    0.260254    0.223145    0.037598    
1    17   8    0.000000    0.003418    0.078125    0.918457    
1    17   10   0.415039    0.272949    0.239258    0.072754    
1    17   11   0.738281    0.223145    0.038574    0.000000    
1    17   15   1.000000    0.000000    0.000000    0.000000    
1    17   13   1.000000    0.000000    0.000000    0.000000    
1    17   9    0.056152    0.214844    0.261719    0.467285    
1    17   12   0.976074    0.023926    0.000000    0.000000    
1    17   14   1.000000    0.000000    0.000000    0.000000    
1    17   17   1.000000    0.000000    0.000000    0.000000    
1    17   19   0.970703    0.029297    0.000000    0.000000    
1    17   16   1.000000    0.000000    0.000000    0.000000    
1    17   18   1.000000    0.000000    0.000000    0.000000    
1    17   20   0.750000    0.224609    0.025391    0.000000    
1    17   21   0.413086    0.268066    0.247070    0.071777    
1    17   23   0.000000    0.002930    0.082520    0.914551    
1    17   22   0.054688    0.211426    0.270996    0.462891    
1    18   8    0.000000    0.000000    0.028320    0.971680    
1    18   9    0.014648    0.128906    0.246582    0.609863    
1    18   11   0.631348    0.261719    0.102051    0.004883    
1    18   12   0.878906    0.121094    0.000000    0.000000    
1    18   10   0.285645    0.259277    0.266113    0.188965    
1    18   13   0.995605    0.004395    0.000000    0.000000    
